-83065	29521	68815	-100340	-29235
-110304	38545	68519	-115776	-46287
-88908	31418	69174	-107023	-30120
-99298	32751	71580	-113674	-38766
-77225	29431	64216	-95754	-28018
-71666	33687	52295	-76424	-32418
-71806	31646	52214	-77259	-33009
-74659	30664	58839	-86308	-28278
-87971	47857	36119	-66547	-54641
-88921	47283	33954	-64939	-56699
-118075	55461	42631	-92552	-68781
-73998	37196	47640	-71757	-37643
-97349	31226	69840	-114253	-36576
-86157	48005	33799	-67933	-55085
-96688	31539	70336	-115118	-36334
-78401	29356	62524	-95146	-27371
-94700	51912	33039	-67725	-61781
-121817	52719	49483	-99143	-68963
-95440	30060	71092	-112571	-32361
-86982	48999	34982	-65875	-53231
-106016	35927	71207	-117423	-40367
-106892	54761	35658	-74528	-67148
-100471	52049	33975	-73349	-64889
-86823	48501	36272	-65667	-53712
-73266	33326	53447	-81989	-29765
-87228	46137	37043	-65271	-52765
-82946	29423	67984	-100924	-29064
-79765	42915	41137	-66533	-48776
-82022	27674	65925	-104166	-30007
-117901	52324	41272	-88412	-70067
-77846	28384	63157	-94922	-27685
-84002	44796	35989	-65649	-53336
-116716	42280	62820	-114712	-53743
-122425	49892	53060	-104586	-63689
-120492	52374	46439	-95739	-69886
-95141	31956	71951	-111385	-34496
-81462	29206	64530	-95955	-28658
-116952	41330	64897	-116400	-52582
-93656	29634	70607	-109817	-31396
-83317	28644	67460	-100091	-27573
-88863	50587	33072	-67130	-57604
-99791	51977	32709	-70632	-62189
-110056	35912	69058	-116219	-42895
-116709	54942	42577	-91149	-69171
-120336	53687	45178	-92896	-69474
-73384	34236	53059	-79726	-32402
-71245	34876	50156	-74616	-34585
-114218	39370	66893	-116823	-48050
-112956	54785	37627	-84154	-69235
-75214	30138	61841	-92890	-27731
-94869	51538	32848	-66362	-60019
-78835	42177	40317	-65200	-46152
-75961	28859	60945	-89822	-27917
-101538	53764	34637	-71188	-64967
-95498	50830	34237	-68632	-62244
-73800	31248	53643	-81229	-31635
-90486	50945	35902	-65177	-58989
-114110	40555	65259	-117860	-48751
-122590	48642	55152	-109415	-62948
-117910	42375	63079	-115872	-52960
-72586	33325	51146	-75943	-34442
-111984	37945	66680	-116916	-45485
-91441	31054	71845	-109158	-32429
-112076	54895	36519	-81345	-69168
-109023	57139	34914	-77425	-69947
-122435	49706	53868	-107326	-62571
-101139	52990	34908	-73167	-66587
-74428	37919	44680	-69578	-40853
-74882	37016	48066	-73186	-40668
-86074	47955	37411	-64666	-53028
-120482	48856	56050	-109098	-62170
-94717	30892	67341	-109367	-30707
-100401	32631	72553	-114098	-38267
-120569	54240	45759	-97331	-68320
-120795	51728	49752	-100512	-66545
-105077	55446	35716	-74610	-66713
-122318	45802	59982	-113837	-58138
-98798	31465	69375	-115105	-35257
-75625	39225	45568	-71514	-39239
-116271	53659	42779	-89088	-68853
12036	70819	72249	-9528	-12568
-4242	98316	35601	26131	-53383
-37642	74109	95963	-64952	-26473
-25525	72275	91973	-51764	-21769
-21819	70840	91117	-48114	-22109
-6646	71103	83617	-30078	-17889
-40599	102236	46844	-7275	-64957
30772	77957	49135	29357	-17108
-87030	97808	81740	-73226	-71867
17081	91819	32605	42188	-41310
-88330	97826	84207	-77421	-71223
-77098	83379	103561	-92860	-46643
-9329	70317	86932	-35558	-18015
34441	79942	47240	34345	-18862
-78462	101296	70022	-55752	-73064
-47800	74960	101310	-74403	-32940
-47347	75164	99255	-73185	-30700
34276	78399	42331	40214	-20768
-32673	99433	44869	463	-62960
34118	83295	37876	45050	-27620
21013	73256	63314	8669	-13667
25910	89492	34449	46457	-34688
-38203	103980	46433	-4344	-66452
-438	96358	32218	28303	-51890
-71028	100473	64645	-44763	-72230
33565	76601	49145	29023	-17171
30338	85998	34437	46223	-30747
-23293	100819	39570	7828	-61556
35242	78805	39113	42980	-23036
23465	73014	62499	11716	-14602
-76700	101029	72542	-53883	-71788
24470	90417	32616	44261	-37825
-36639	101884	46315	-3083	-66316
-83725	88221	103259	-95219	-52204
-90149	97486	85844	-80846	-69799
-71711	81497	102773	-91635	-43875
20265	91684	32606	44961	-39214
-71233	80156	104060	-91698	-44753
2475	96224	32398	32956	-49419
34431	80351	39268	40378	-20939
-85419	99727	78667	-72314	-71747
-8882	70073	84215	-34724	-18781
-84770	83494	104098	-96885	-53580
-71316	80571	105275	-89682	-43549
-21146	72466	90740	-48330	-23389
6341	93647	32406	36337	-46077
6674	72856	75713	-15911	-15045
-86661	98020	80606	-70984	-73509
-9693	69901	83279	-33167	-18600
23624	74540	61911	11305	-13142
12935	89656	30504	39153	-44099
-51761	103734	52339	-22785	-72198
9385	70378	74039	-12160	-14516
-29803	102074	44867	2765	-63677
-14900	70139	86020	-41392	-20174
20328	72609	64020	7178	-13334
-76606	101867	71848	-56542	-72751
-90618	95602	90409	-86229	-65683
-8923	98648	35530	22671	-53695
-24612	102229	42606	8237	-61373
9346	70863	72926	-9122	-13563
-11105	97822	36552	22852	-56155
-45688	102754	49409	-17511	-67110
-78489	81587	102172	-94219	-48321
6410	71115	76350	-16851	-14844
-87532	87626	99871	-96733	-56082
-40933	73779	98671	-70125	-29099
-55094	102118	55921	-26239	-70172
-13471	69054	85499	-39494	-19880
-73531	81577	104487	-91836	-45035
36470	79496	42823	38344	-21091
2700	95141	33556	34583	-49826
-56910	78123	105091	-81280	-34921
34833	81592	41247	43868	-23298
15710	93145	31963	39299	-42746
-76377	101841	69626	-56187	-71123
-12225	70185	86426	-36891	-19494
